MagYaw,YawVelocityDegreesPerSecond,YawIntegral,YawProportional,YawDerivativeError,YawControl,YawIntegralGain,YawDerivativeGain,YawProportionalGain,YawAntiWindupGain,XNEDBodyFrame,XVelocityMetersPerSecond,ThetaPitchDegrees,XIntegral,XProportional,XDerivativeError,LongitudeControl,XIntegralGain,XDerivativeGain,XProportionalGain,XAntiWindupGain,LongitudeInnerLoopGain,XLongitudeOuterLoopSetpoint,YNEDBodyFrame,YVelocityMetersPerSecond,PhiRollDegrees,YIntegral,YProportional,YDerivativeError,LateralControl,YIntegralGain,YDerivativeGain,YProportionalGain,YAntiWindupGain,LateralInnerLoopGain,YLateralOuterLoopSetpoint,AltitudeFeetAgl,ZVelocityMetersPerSecond,ZIntegral,ZProportional,ZDerivativeError,MainRotorCollectiveControl,ZIntegralGain,ZDerivativeGain,ZProportionalGain,ZAntiWindupGain,LatitudeDegrees,LongitudeDegrees,Timeouts,UnrecognizedMsgTypes,ChecksumErrors,NumOfBlownFrames,MessageType,NumOfBytesInMsg
155.3284,2.997198,0,0,0,0,0,0,0,0,0,-0.00353651,-1.320044,0,0,0,0,0,0,0,0,0,0,0,0.001986495,-0.1844606,0,0,0,0,0,0,0,0,0,0,0.0927434,-0.0002370309,0,0,0,0,0,0,0,0,0,0,284,0,0,0,2,209

156.0477,8.506649,3.883209,155.3284,2.997198,1,0,0,0,0,0,-0.008798524,-1.344413,0,0,-0.00353651,-0.04071757,0,0,0,0,0,-0.006574371,0,0.003251327,-0.1956017,0,0,0.001986495,0.01748873,0,0,0,0,0,0.005634295,0.09275306,-0.0003938885,0.1000927,100.0927,-0.000777556,1,0,0,0,0,0,0,284,0,0,1,2,209

156.6074,11.13356,0,156.0477,8.506649,1,0,0,0,0,-0.7626219,-0.01080916,-1.361857,0,0,-0.008798524,-0.04116974,0,0,0,0,0,-0.01635646,-0.2346839,0.003307273,-0.2028219,0,0,0.003251327,0.01884376,0,0,0,0,0,0.009221737,0.09282636,0.000162752,0,100.0928,-0.001292112,1,0,0,0,0,0,0,284,0,0,2,2,209

155.608,-19.89658,0,156.6074,11.13356,1,0,0,0,0,-0.7626219,-0.08293899,-1.434032,0,-0.7626219,-0.01080916,-0.03476232,0,0,0,0,0,-0.240492,-0.2346839,-0.09113392,-0.003784836,0,-0.2346839,0.003307273,-0.01150354,0,0,0,0,0,-0.3278604,0.5519041,-2.785504,0,100.0928,0.0005338916,1,0,0,0,0,0,0,284,0,0,3,2,209

151.7922,-42.79035,0,155.608,-19.89658,1,0,0,0,0,-0.4248287,-0.1658437,-0.9377913,0,-0.4248287,-0.08293899,-0.03284298,0,0,0,0,0,-0.2769591,-0.2346839,-0.2074364,0.6131516,0,-0.2346839,-0.09113392,-0.0544584,0,0,0,0,0,-0.595724,1.836778,-4.163387,0,100.5519,-9.137568,1,0,0,0,0,0,0,284,0,0,4,2,209

149.286,-49.92704,0,151.7922,-42.79035,1,0,0,0,0,-0.4135987,-0.1950544,-0.4832885,0,-0.4135987,-0.1658437,-0.01580869,0,0,0,0,0,-0.4278334,-0.2578588,-0.2619003,0.9121714,0,-0.2578588,-0.2074364,-0.1446283,0,0,0,0,0,-0.9588948,2.585384,-4.542511,0,101.8368,-13.65757,1,0,0,0,0,0,0,284,0,0,5,2,209

143.583,-58.70475,0,149.286,-49.92704,1,0,0,0,0,-0.5842203,-0.2336139,0.8126678,0,-0.4135987,-0.1950544,-3.572336E-05,0,0,0,0,0,-0.4821362,-0.4143147,-0.3700706,1.303774,0,-0.2578588,-0.2619003,-0.1863499,0,0,0,0,0,-1.113371,4.20929,-5.033119,0,102.5854,-14.90125,1,0,0,0,0,0,0,284,0,0,6,2,209

140.5433,-60.72297,0,143.583,-58.70475,1,0,0,0,0,-0.5729902,-0.2382302,1.644707,0,-0.5842203,-0.2336139,0.04388967,0,0,0,0,0,-0.6031279,-0.4374895,-0.4157689,1.222472,0,-0.4143147,-0.3700706,-0.2712873,0,0,0,0,0,-1.645002,5.065902,-5.198935,0,104.2093,-16.51064,1,0,0,0,0,0,0,284,0,0,7,2,209

137.4539,-61.67385,0,140.5433,-60.72297,1,0,0,0,0,-0.6453459,-0.2361856,2.579659,0,-0.6453459,-0.2382302,0.06984829,0,0,0,0,0,-0.6293749,-0.3824363,-0.4638596,0.9306833,0,-0.3824363,-0.4157689,-0.2787959,0,0,0,0,0,-1.728806,5.944565,-5.333301,0,105.0659,-17.05458,1,0,0,0,0,0,0,284,0,0,8,2,209

131.2929,-60.77198,0,137.4539,-61.67385,1,0,0,0,0,-0.6341162,-0.1887585,4.750932,0,-0.6341162,-0.2361856,0.0992616,0,0,0,0,0,-0.6223285,-0.405611,-0.5449735,-0.4741043,0,-0.405611,-0.4638596,-0.2602856,0,0,0,0,0,-1.898508,7.755516,-5.545946,0,105.9446,-17.49536,1,0,0,0,0,0,0,284,0,0,9,2,209

