MagYaw,YawVelocityDegreesPerSecond,YawIntegral,YawProportional,YawDerivativeError,YawControl,YawIntegralGain,YawDerivativeGain,YawProportionalGain,YawAntiWindupGain,XNEDBodyFrame,XVelocityMetersPerSecond,ThetaPitchDegrees,XIntegral,XProportional,XDerivativeError,LongitudeControl,XIntegralGain,XDerivativeGain,XProportionalGain,XAntiWindupGain,LongitudeInnerLoopGain,XLongitudeOuterLoopSetpoint,YNEDBodyFrame,YVelocityMetersPerSecond,PhiRollDegrees,YIntegral,YProportional,YDerivativeError,LateralControl,YIntegralGain,YDerivativeGain,YProportionalGain,YAntiWindupGain,LateralInnerLoopGain,YLateralOuterLoopSetpoint,AltitudeFeetAgl,ZVelocityMetersPerSecond,ZIntegral,ZProportional,ZDerivativeError,MainRotorCollectiveControl,ZIntegralGain,ZDerivativeGain,ZProportionalGain,ZAntiWindupGain,ZNEDBodyFrame,LatitudeDegrees,LongitudeDegrees,Timeouts,UnrecognizedMsgTypes,ChecksumErrors,NumOfBlownFrames,MessageType,NumOfBytesInMsg
319.6677,45.1204,0,0,0,0,0,0,0,0,0,-0.02671633,0.510378,0,0,0,0,0,0,0,0,0,0,0,0.0267777,0.07209049,0,0,0,0,0,0,0,0,0,0,0.09246122,0.0001699144,0,0,0,0,0,0,0,0,0,0,0,130,0,0,0,2,213

323.1968,44.66307,-1.008308,-40.33231,45.1204,-1,0,0,0,0,0,-0.02762756,0.5131628,0,0,-0.02671633,-0.01736135,0,0,0,0,0,-0.04966566,0,0.02645842,0.1250234,0,0,0.0267777,0.0003550361,0,0,0,0,0,0.07594958,0.0925345,4.357936E-05,0.09999999,100,0.0005573871,1,0,0,0,0,0,0,0,130,0,0,1,2,213

329.7231,73.08105,0,-36.80319,44.66307,-1,0,0,0,0,-0.7626219,-0.04435659,0.4704122,0,0,-0.02762756,-0.0175002,0,0,0,0,0,-0.05135964,-0.2346839,-0.0958338,-0.07686386,0,0,0.02645842,-0.004598101,0,0,0,0,0,0.07504401,0.4252862,-2.477884,0,100,0.0001429577,1,0,0,0,0,-0.6988069,0,0,130,0,0,2,2,213

337.3748,105.4857,0,-30.27689,73.08105,-1,0,0,0,0,-0.4248287,-0.05342654,0.8112217,0,-0.7626219,-0.04435659,-0.02397133,0,0,0,0,0,-0.3028566,-0.2346839,-0.234061,-0.8256522,0,-0.2346839,-0.0958338,-0.04896151,0,0,0,0,0,-0.6090542,1.341431,-3.926579,0,99.30119,-8.128449,1,0,0,0,0,-1.067447,0,0,130,0,0,3,2,213

346.8736,127.531,0,-22.62518,105.4857,-1,0,0,0,0,-0.7513918,-0.05902925,1.541636,0,-0.7513918,-0.05342654,-0.03203283,0,0,0,0,0,-0.3164722,-0.2578588,-0.3278386,-1.533424,0,-0.2578588,-0.234061,-0.01614195,0,0,0,0,0,-1.03441,2.511442,-4.772381,0,97.95515,-12.88075,1,0,0,0,0,-2.044852,0,0,130,0,0,4,2,213

