MagYaw,YawVelocityDegreesPerSecond,YawIntegral,YawProportional,YawDerivativeError,YawControl,YawIntegralGain,YawDerivativeGain,YawProportionalGain,YawAntiWindupGain,XNEDBodyFrame,XVelocityMetersPerSecond,ThetaPitchDegrees,XIntegral,XProportional,XDerivativeError,LongitudeControl,XIntegralGain,XDerivativeGain,XProportionalGain,XAntiWindupGain,LongitudeInnerLoopGain,XLongitudeOuterLoopSetpoint,YNEDBodyFrame,YVelocityMetersPerSecond,PhiRollDegrees,YIntegral,YProportional,YDerivativeError,LateralControl,YIntegralGain,YDerivativeGain,YProportionalGain,YAntiWindupGain,LateralInnerLoopGain,YLateralOuterLoopSetpoint,AltitudeFeetAgl,ZVelocityMetersPerSecond,ZIntegral,ZProportional,ZDerivativeError,MainRotorCollectiveControl,ZIntegralGain,ZDerivativeGain,ZProportionalGain,ZAntiWindupGain,ZNEDBodyFrame,LatitudeDegrees,LongitudeDegrees,Timeouts,UnrecognizedMsgTypes,ChecksumErrors,NumOfBlownFrames,MessageType,NumOfBytesInMsg
243.888,39.40804,0,0,0,0,0,0,0,0,0,-0.01460253,-0.3377088,0,0,0,0,0,0,0,0,0,0,0,0.01883893,-0.64532,0,0,0,0,0,0,0,0,0,0,0.09286647,-2.98E-06,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,2,213
247.6196,38.90159,-2.902799,-116.112,39.40804,-1,0,0,0,0,0,-0.01519295,-0.2815562,0,0,-0.01460253,0.009627444,0,0,0,0,0,-0.0271461,0,0.01960738,-0.6290758,0,0,0.01883893,0.06428526,0,0,0,0,0,0.05343286,0.0928784,1.20E-05,0.09999999,100,-9.76E-06,1,0,0,0,0,0,0,0,65,0,0,1,2,213
251.3172,38.38885,0,-112.3804,38.90159,-1,0,0,0,0,-0.352473,-0.01582031,-0.2276934,0,0,-0.01519295,0.007852688,0,0,0,0,0,-0.02824369,-0.2897371,0.02031144,-0.6111599,0,0,0.01960738,0.06299131,0,0,0,0,0,0.05561241,0.09280536,0.000391185,0,100,3.93E-05,1,0,0,0,0,-0.3229785,0,0,65,0,0,2,2,213
256.6893,37.5592,0,-108.6828,38.38885,-1,0,0,0,0,-0.352473,-0.01692206,-0.1506304,0,-0.352473,-0.01582031,0.002988982,0,0,0,0,0,-0.1312747,-0.2897371,0.02123052,-0.582819,0,-0.2897371,0.02031144,0.02322236,0,0,0,0,0,-0.358743,0.09284225,8.51E-05,0,99.67702,0.001283243,1,0,0,0,0,-0.3229785,0,0,65,0,0,3,2,213
261.6801,36.64951,0,-103.3107,37.5592,-1,0,0,0,0,-0.352473,-0.01807613,-0.07836694,0,-0.352473,-0.01692206,0.000536535,0,0,0,0,0,-0.1333228,-0.2897371,0.02200913,-0.5496554,0,-0.2897371,0.02123052,0.02085482,0,0,0,0,0,-0.3561361,0.0927091,0.000300928,0,99.67702,0.000279239,1,0,0,0,0,-0.3229785,0,0,65,0,0,4,2,213
266.3065,35.73869,0,-98.31989,36.64951,-1,0,0,0,0,-0.352473,-0.01925915,-0.01292698,0,-0.352473,-0.01807613,-0.001770141,0,0,0,0,0,-0.1354682,-0.2897371,0.02261318,-0.5170813,0,-0.2897371,0.02200913,0.01800694,0,0,0,0,0,-0.3539278,0.09279434,-0.000121953,0,99.67702,0.000987163,1,0,0,0,0,-0.3229785,0,0,65,0,0,5,2,213
266.3065,35.73869,0,-93.69351,35.73869,-1,0,0,0,0,-0.352473,-0.01925915,-0.01292698,0,-0.352473,-0.01925915,-0.003866955,0,0,0,0,0,-0.1376675,-0.2897371,0.02261318,-0.5170813,0,-0.2897371,0.02261318,0.01516775,0,0,0,0,0,-0.3522145,0.09279434,-0.000121953,0,99.67702,-0.000400056,1,0,0,0,0,-0.3229785,0,0,66,0,0,6,2,213
272.0743,34.61319,0,-93.69351,35.73869,-1,0,0,0,0,-0.352473,-0.02069193,0.06234783,0,-0.352473,-0.01925915,-0.003866955,0,0,0,0,0,-0.1376675,-0.2897371,0.02318935,-0.4652303,0,-0.2897371,0.02261318,0.01516775,0,0,0,0,0,-0.3522145,0.09270087,0.000156411,0,99.67702,-0.000400056,1,0,0,0,0,-0.3229785,0,0,66,0,0,7,2,213
272.0743,34.61319,0,-87.92572,34.61319,-1,0,0,0,0,-0.762622,-0.02069193,0.06234783,0,-0.762622,-0.02069193,-0.006283043,0,0,0,0,0,-0.258864,-0.2346839,0.02318935,-0.4652303,0,-0.2346839,0.02318935,0.0105478,0,0,0,0,0,-0.2714689,0.09270087,0.000156411,0,99.30119,0.000513091,1,0,0,0,0,-0.6988068,0,0,67,0,0,8,2,213
291.7558,116.9932,0,-87.92572,34.61319,-1,0,0,0,0,-0.762622,-0.3550537,1.701181,0,-0.762622,-0.02069193,-0.009957568,0,0,0,0,0,-0.258864,-0.2346839,-0.1506875,-1.759219,0,-0.2346839,0.02318935,0.01782605,0,0,0,0,0,-0.2714689,2.838902,-4.911987,0,99.30119,0.000513091,1,0,0,0,0,-0.6988068,0,0,67,0,0,9,2,213
302.3701,135.989,0,-68.24423,116.9932,-1,0,0,0,0,-0.500635,-0.4329549,3.153064,0,-0.762622,-0.3550537,-0.08003034,0,0,0,0,0,-0.8804426,-0.4925426,-0.1761701,-1.91247,0,-0.2346839,-0.1506875,0.09150165,0,0,0,0,0,-0.7646357,4.230027,-5.326948,0,99.30119,-16.11328,1,0,0,0,0,-3.84958,0,0,67,0,0,10,2,213
321.1757,163.7251,0,-57.62994,135.989,-1,0,0,0,0,-0.5729909,-0.5676686,5.917233,0,-0.500635,-0.4329549,-0.1271809,0,0,0,0,0,-0.9495468,-0.4374895,-0.1899414,-1.327123,0,-0.4925426,-0.1761701,0.06486136,0,0,0,0,0,-1.207455,6.455687,-5.673973,0,96.15042,-17.47452,1,0,0,0,0,-4.594049,0,0,67,0,0,11,2,213
335.4316,182.1503,0,-38.82434,163.7251,-1,0,0,0,0,-0.2963238,-0.6662696,7.817408,0,-0.2963238,-0.5676686,-0.2212818,0,0,0,0,0,-1.140934,-0.405611,-0.1822069,-0.06587774,0,-0.405611,-0.1899414,0.01469422,0,0,0,0,0,-1.121594,7.970016,-5.811177,0,92.9468,-18.6129,1,0,0,0,0,-7.053202,0,0,67,0,0,12,2,213
351.7015,200.855,0,-24.56836,182.1503,-1,0,0,0,0,-0.4410357,-0.7903588,9.46067,0,-0.4410357,-0.6662696,-0.2846873,0,0,0,0,0,-1.366054,-0.2955048,-0.1762199,2.003476,0,-0.2955048,-0.1822069,-0.08055115,0,0,0,0,0,-0.9414337,9.551708,-5.912772,0,91.45786,-19.06298,1,0,0,0,0,-8.54214,0,0,67,0,0,13,2,213
20.11235,229.6651,0,-8.298492,200.855,1,0,0,0,0,-0.4298058,-1.01824,10.42097,0,-0.4410357,-0.7903588,-0.3427796,0,0,0,0,0,-1.596736,-0.3186796,-0.1812741,6.152648,0,-0.2955048,-0.1762199,-0.2693695,0,0,0,0,0,-0.9244528,12.04064,-6.02217,0,91.45786,-19.39626,1,0,0,0,0,-9.888185,0,0,67,0,0,14,2,213
41.10292,249.5056,0,20.11235,229.6651,1,0,0,0,0,-0.5632877,-1.183216,9.470087,0,-0.4298058,-1.01824,-0.3855808,0,0,0,0,0,-2.017123,-0.2317481,-0.2119804,8.787621,0,-0.3186796,-0.1812741,-0.6554759,0,0,0,0,0,-0.9720902,13.71968,-6.075608,0,90.11182,-19.75513,1,0,0,0,0,-12.72317,0,0,67,0,0,15,2,213
60.36398,221.3394,0,41.10292,249.5056,1,0,0,0,0,-0.9881167,-1.513954,7.610421,0,-0.9881167,-1.183216,-0.3668067,0,0,0,0,0,-2.485165,-0.4664316,-0.1788604,10.31814,0,-0.4664316,-0.2119804,-0.8944133,0,0,0,0,0,-1.271502,15.38193,-6.103492,0,86.20939,-19.93042,1,0,0,0,0,-13.79061,0,0,67,0,0,16,2,213
83.17413,165.2791,0,60.36398,221.3394,1,0,0,0,0,-1.049242,-1.985448,4.632512,0,-1.049242,-1.513954,-0.3325709,0,0,0,0,0,-3.117672,-0.4345536,-0.2581452,8.804232,0,-0.4345536,-0.1788604,-1,0,0,0,0,0,-1.131755,17.88734,-6.201828,0,84.11887,-20.02189,1,0,0,0,0,-15.88113,0,0,67,0,0,17,2,213
94.72007,132.5684,0,83.17413,165.2791,1,0,0,0,0,-1.110369,-2.203015,3.01348,0,-1.049242,-1.985448,-0.2674274,0,0,0,0,0,-3.994178,-0.4026747,-0.3492694,5.228337,0,-0.4345536,-0.2581452,-0.9347993,0,0,0,0,0,-1.356631,19.59682,-6.322981,0,84.11887,-20.34448,1,0,0,0,0,-17.97164,0,0,67,0,0,18,2,213
108.4054,103.2029,0,94.72007,132.5684,1,0,0,0,0,-1.255081,-2.300424,1.322794,0,-1.110369,-2.203015,-0.2303232,0,0,0,0,0,-4.416302,-0.2925687,-0.3990328,-3.097633,0,-0.4026747,-0.3492694,-0.6253804,0,0,0,0,0,-1.569276,22.22482,-6.585959,0,82.02836,-20.74191,1,0,0,0,0,-19.46058,0,0,67,0,0,19,2,213
116.1499,94.36663,0,108.4054,103.2029,1,0,0,0,0,-1.570414,-2.218176,0.7673327,0,-1.570414,-2.300424,-0.184822,0,0,0,0,0,-4.730338,-0.3389187,-0.3108795,-9.931229,0,-0.3389187,-0.3990328,0.1421801,0,0,0,0,0,-1.618803,23.98902,-6.791895,0,78.21597,-21.60458,1,0,0,0,0,-21.78403,0,0,67,0,0,20,2,213
