MagYaw,YawVelocityDegreesPerSecond,YawIntegral,YawProportional,YawDerivativeError,YawControl,YawIntegralGain,YawDerivativeGain,YawProportionalGain,YawAntiWindupGain,XNEDBodyFrame,XVelocityMetersPerSecond,ThetaPitchDegrees,XIntegral,XProportional,XDerivativeError,LongitudeControl,XIntegralGain,XDerivativeGain,XProportionalGain,XAntiWindupGain,LongitudeInnerLoopGain,XLongitudeOuterLoopSetpoint,PitchAngularVelocityRadsPerSecond,PitchAngularVelocityGain,YNEDBodyFrame,YVelocityMetersPerSecond,PhiRollDegrees,YIntegral,YProportional,YDerivativeError,LateralControl,YIntegralGain,YDerivativeGain,YProportionalGain,YAntiWindupGain,LateralInnerLoopGain,YLateralOuterLoopSetpoint,RollAngularVelocityRadsPerSecond,RollAngularVelocityGain,AltitudeFeetAgl,ZVelocityMetersPerSecond,ZIntegral,ZProportional,ZDerivativeError,MainRotorCollectiveControl,ZIntegralGain,ZDerivativeGain,ZProportionalGain,ZAntiWindupGain,ZNEDBodyFrame,LatitudeDegrees,LongitudeDegrees,Timeouts,UnrecognizedMsgTypes,ChecksumErrors,NumOfBlownFrames,MessageType,NumOfBytesInMsg
166.6645,39.87456,0,0,0,0,0,0,0,0,0,-0.01743107,-1.689299,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004667124,-0.3044333,0,0,0,0,0,0,0,0,0,0,0,0,0.09455357,5.265151E-05,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,2,229
170.6523,39.71244,0.4166613,166.6645,39.87456,1,0,0,0,0,0,-0.01678018,-1.657236,0,0,-0.01743107,0.05136373,0,0,0,0,0,-0.03240437,0,0,0,0.005303605,-0.3509021,0,0,0.004667124,0.0292257,0,0,0,0,0,0.01323736,0,0,0.09457158,-0.0003598907,0.09999999,100,0.000172718,0.5,0,0,0,0,0,0,0,19,0,0,1,2,229
174.6265,39.5385,0.8176779,170.6523,39.71244,1,0,0,0,0,-0.3118834,-0.01622579,-1.62122,0,0,-0.01678018,0.05040728,0,0,0,0,0,-0.03119436,0,0,0.2665623,0.005940894,-0.3985223,0,0,0.005303605,0.03366691,0,0,0,0,0,0.01504261,0,0,0.09460612,-0.0005536124,0,100,-0.001180585,0.5,0,0,0,0,-0.2857854,0,0,19,0,0,2,2,229
173.9553,-16.11773,1.223886,174.6265,39.5385,1,0,0,0,0,-0.3118834,-0.02305838,-1.504259,0,-0.3118834,-0.01622579,0.04652857,0,0,0,0,0,-0.1202981,0,0,0.2665623,-0.2160566,0.3254013,0,0.2665623,0.005940894,0.07345486,0,0,0,0,0,0.3999001,0,0,0.6424791,-1.803131,0,99.71422,-0.00181607,0.5,0,0,0,0,-0.2857854,0,0,19,0,0,3,2,229
172.4001,-30.97652,2.020412,173.9553,-16.11773,1,0,0,0,0,0.02590969,-0.02032208,-1.308992,0,0.02590969,-0.02305838,0.04250903,0,0,0,0,0,-0.03537762,0,0,0.2665623,-0.2923155,0.857979,0,0.2665623,-0.2160566,-0.05107404,0,0,0,0,0,-0.2297513,0,0,0.9474753,-1.853418,0,99.34557,-5.91499,0.5,0,0,0,0,-0.6544259,0,0,19,0,0,4,2,229
167.4303,-55.25097,2.409345,172.4001,-30.97652,1,0,0,0,0,0.1094955,-0.01480259,-0.6872358,0,0.1094955,-0.02032208,0.04038859,0,0,0,0,0,-0.006134555,0,0,0.1883342,-0.4421577,2.073192,0,0.1883342,-0.2923155,-0.1303122,0,0,0,0,0,-0.5584582,0,0,1.561834,-1.864726,0,98.744,-6.079954,0.5,0,0,0,0,-1.256002,0,0,19,0,0,5,2,229
160.4548,-74.17323,2.782498,167.4303,-55.25097,1,0,0,0,0,0.03713948,-0.01139067,0.2614641,0,0.1094955,-0.01480259,0.02143222,0,0,0,0,0,0.004126165,0,0,0.2433872,-0.5884038,3.263628,0,0.1883342,-0.4421577,-0.2812116,0,0,0,0,0,-0.9834557,0,0,2.165482,-1.823446,0,98.744,-6.117048,0.5,0,0,0,0,-2.000471,0,0,19,0,0,6,2,229
151.9005,-89.18178,3.135803,160.4548,-74.17323,1,0,0,0,0,0.03713948,-0.01041542,1.515416,0,0.03713948,-0.01139067,-0.008429086,0,0,0,0,0,-0.01044194,0,0,0.2433872,-0.7283764,3.803254,0,0.2433872,-0.5884038,-0.4216149,0,0,0,0,0,-1.319142,0,0,2.750198,-1.763507,0,97.99953,-5.981631,0.5,0,0,0,0,-2.000471,0,0,19,0,0,7,2,229
147.1529,-95.04422,3.79431,151.9005,-89.18178,1,0,0,0,0,-0.04989636,-0.009852301,2.216569,0,-0.04989636,-0.01041542,-0.04724539,0,0,0,0,0,-0.03378231,0,0,0.008702993,-0.7874879,3.58437,0,0.008702993,-0.7283764,-0.5077848,0,0,0,0,0,-2.053388,0,0,3.034945,-1.734158,0,96.56344,-5.785008,0.5,0,0,0,0,-3.436558,0,0,19,0,0,8,2,229
136.871,-105.0424,4.107674,147.1529,-95.04422,1,0,0,0,0,0.1231319,-0.003237405,3.620325,0,0.1231319,-0.009852301,-0.06817829,0,0,0,0,0,0.01726969,0,0,-1.025668,-0.8900876,2.008898,0,-1.025668,-0.7874879,-0.6708462,0,0,0,0,0,-3.707437,0,0,3.590465,-1.678999,0,96.72199,-5.688732,0.5,0,0,0,0,-3.278009,0,0,19,0,0,9,2,229
125.6558,-113.3559,4.393174,136.871,-105.0424,1,0,0,0,0,0.460925,0.02319635,4.763191,0,0.1231319,-0.003237405,-0.1113135,0,0,0,0,0,0.02956678,0,0,-1.025668,-0.9554124,-1.250241,0,-1.025668,-0.8900876,-0.5526751,0,0,0,0,0,-3.99844,0,0,4.130757,-1.636679,0,96.72199,-5.507788,0.5,0,0,0,0,-3.64665,0,0,19,0,0,10,2,229
113.7261,-120.5556,4.649846,125.6558,-113.3559,1,0,0,0,0,0.050776,0.09898379,5.258143,0,0.460925,0.02319635,-0.1421927,0,0,0,0,0,0.1763293,0,0,-0.9706149,-0.9628959,-6.406221,0,-1.025668,-0.9554124,-0.2698802,0,0,0,0,0,-4.183721,0,0,4.656294,-1.60822,0,96.35335,-5.368963,0.5,0,0,0,0,-4.022478,0,0,19,0,0,11,2,229
101.6257,-126.8489,5.102887,113.7261,-120.5556,1,0,0,0,0,-0.02157998,0.2302773,4.786018,0,-0.02157998,0.09898379,-0.1568432,0,0,0,0,0,0.1777743,0,0,-0.9155619,-0.9335026,-12.5972,0,-0.9155619,-0.9628959,0.2097955,0,0,0,0,0,-4.046724,0,0,5.151803,-1.576335,0,95.23306,-5.275605,0.5,0,0,0,0,-4.766947,0,0,19,0,0,12,2,229
89.38626,-132.9212,5.29692,101.6257,-126.8489,1,0,0,0,0,0.3162131,0.4165766,3.173566,0,0.3162131,0.2302773,-0.1322629,0,0,0,0,0,0.519471,0,0,-0.9155619,-0.8833992,-18.67992,0,-0.9155619,-0.9335026,0.7943138,0,0,0,0,0,-3.963356,0,0,5.620886,-1.529734,0,94.86441,-5.171011,0.5,0,0,0,0,-5.135587,0,0,19,0,0,13,2,229
89.38626,-132.9212,5.460753,89.38626,-132.9212,1,0,0,0,0,0.06200576,0.4165766,3.173566,0,0.3162131,0.4165766,-0.0715407,0,0,0,0,0,0.8658015,0,0,-0.99379,-0.8833992,-18.67992,0,-0.9155619,-0.8833992,1,0,0,0,0,0,-3.821248,0,0,5.620886,-1.529734,0,94.86441,-5.018141,0.5,0,0,0,0,-5.368523,0,0,19,0,0,14,2,229
69.94725,-142.6884,5.62531,89.38626,-132.9212,1,0,0,0,0,0.06200576,0.6794083,-1.362455,0,0.06200576,0.4165766,-0.07381815,0,0,0,0,0,0.7923356,0,0,-0.99379,-0.8301193,-21.75719,0,-0.99379,-0.8833992,1,0,0,0,0,0,-3.933661,0,0,6.305653,-1.44422,0,94.63148,-5.018141,0.5,0,0,0,0,-5.368523,0,0,19,0,0,15,2,229
57.02236,-150.1719,5.856548,69.94725,-142.6884,1,0,0,0,0,0.3274431,0.8318117,-4.700269,0,0.3274431,0.6794083,0.08194524,0,0,0,0,0,1.357651,0,0,-0.9387367,-0.7957027,-18.44758,0,-0.9387367,-0.8301193,1,0,0,0,0,0,-3.703432,0,0,6.714113,-1.383969,0,93.51837,-4.737619,0.5,0,0,0,0,-6.481632,0,0,19,0,0,16,2,229
43.45509,-159.3,5.939991,57.02236,-150.1719,1,0,0,0,0,0.3274431,0.9335303,-7.683487,0,0.3274431,0.8318117,0.1965784,0,0,0,0,0,1.640969,0,0,-0.9387367,-0.7311286,-12.17784,0,-0.9387367,-0.7957027,1,0,0,0,0,0,-3.605816,0,0,7.101643,-1.343498,0,93.51837,-4.539971,0.5,0,0,0,0,-6.481632,0,0,19,0,0,17,2,229
21.64012,-172.3904,5.991192,43.45509,-159.3,1,0,0,0,0,0.2550871,0.9795145,-10.19575,0,0.3274431,0.9335303,0.2949201,0,0,0,0,0,1.830064,0,0,-0.8836837,-0.51798,0.8264474,0,-0.9387367,-0.7311286,0.8054761,0,0,0,0,0,-3.422665,0,0,7.663838,-1.338994,0,93.51837,-4.40721,0.5,0,0,0,0,-7.2261,0,0,19,0,0,18,2,229
