DateTime,MagYaw,YawVelocityDegreesPerSecond,YawIntegral,YawProportional,YawDerivativeError,YawControl,YawIntegralGain,YawDerivativeGain,YawProportionalGain,YawAntiWindupGain,XNEDBodyFrame,XVelocityMetersPerSecond,ThetaPitchDegrees,XIntegral,XProportional,XDerivativeError,LongitudeControl,XIntegralGain,XDerivativeGain,XProportionalGain,XAntiWindupGain,LongitudeInnerLoopGain,XLongitudeOuterLoopSetpoint,PitchAngularVelocityRadsPerSecond,PitchAngularVelocityGain,YNEDBodyFrame,YVelocityMetersPerSecond,PhiRollDegrees,YIntegral,YProportional,YDerivativeError,LateralControl,YIntegralGain,YDerivativeGain,YProportionalGain,YAntiWindupGain,LateralInnerLoopGain,YLateralOuterLoopSetpoint,RollAngularVelocityRadsPerSecond,RollAngularVelocityGain,AltitudeFeetAgl,ZVelocityMetersPerSecond,ZIntegral,ZProportional,ZDerivativeError,MainRotorCollectiveControl,ZIntegralGain,ZDerivativeGain,ZProportionalGain,ZAntiWindupGain,ZNEDBodyFrame,LatitudeDegrees,LongitudeDegrees,Timeouts,UnrecognizedMsgTypes,ChecksumErrors,NumOfBlownFrames,MessageType,NumOfBytesInMsg
11.42.53.529726, 348.7217,0.747503,0,0,0,0,0,0,0,0,0,-0.04280647,0.348871,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06697103,0.6395229,0,0,0,0,0,0,0,0,0,0,0,0,0.0924667,0.001591286,0,0,0,0,0,0,0,0,0,0,0,191,0,0,0,2,229
11.42.53.600730, 349.237,0.7318347,-0.0281958,-11.27832,0.747503,-0.235275,0,0,0,0,0,-0.04329517,0.3452868,0,0,-0.04280647,-0.0132819,0,0,0,0,0,-0.07957722,0,0,0,0.06682487,0.64622,0,0,0.06697103,-0.04136071,0,0,0,0,0,0.1899499,0,0,0.09258163,0.001067382,0.09999999,100,0.005220056,0.5,0,0,0,0,0,0,0,191,0,0,1,2,229
11.42.53.702736, 349.7157,9.527538,-0.0551033,-10.763,0.7318347,-0.2526901,0,0,0,0,0.02590975,-0.03752459,0.3406706,0,0,-0.04329517,-0.01319895,0,0,0,0,0,-0.08048573,0,0,0.2665623,0.02579997,0.6215141,0,0,0.06682487,-0.04201498,0,0,0,0,0,0.1895354,0,0,0.09267656,-0.000533105,0,100,0.003501439,0.5,0,0,0,0,-0.6544259,0,0,191,0,0,2,2,229
11.42.53.800741, 352.0051,28.84935,-0.08081398,-10.28427,9.527538,-0.2549363,0,0,0,0,0.02590975,-0.009487845,0.2940229,0,0.02590975,-0.03752459,-0.01249117,0,0,0,0,0,-0.06227029,0,0,0.2665623,-0.04754839,0.2672488,0,0.2665623,0.02579997,-0.01520647,0,0,0,0,0,0.4562264,0,0,0.3389418,-1.494873,0,99.34557,-0.001748798,0.5,0,0,0,0,-0.6544259,0,0,191,0,0,3,2,229
11.42.53.903747, 356.429,47.77099,-0.1207885,-7.994904,28.84935,-0.2205035,0,0,0,0,0.3637029,0.01525479,0.5093416,0,0.3637029,-0.009487845,-0.009429358,0,0,0,0,0,0.08747224,0,0,0.2665623,-0.1319083,-0.5105352,0,0.2665623,-0.04754839,-0.001753552,0,0,0,0,0,0.2481885,0,0,0.9163751,-1.795567,0,98.97694,-4.903781,0.5,0,0,0,0,-1.023066,0,0,191,0,0,4,2,229
11.42.54.001753, 1.992846,58.12954,-0.129716,-3.570984,47.77099,-0.1162616,0,0,0,0,0.1094956,0.02926853,0.8887149,0,0.1094956,0.01525479,-0.0139295,0,0,0,0,0,0.06000288,0,0,0.1883342,-0.1829008,-1.228003,0,0.1883342,-0.1319083,0.03744768,0,0,0,0,0,-0.1034953,0,0,1.510482,-1.814613,0,98.744,-5.890179,0.5,0,0,0,0,-1.256002,0,0,191,0,0,5,2,229
11.42.54.103759, 8.18198,63.651,-0.1247339,1.992846,58.12954,0.008709967,0,0,0,0,0.03713965,0.03420928,1.409819,0,0.1094956,0.02926853,-0.02488247,0,0,0,0,0,0.08605441,0,0,0.2433872,-0.218487,-1.701343,0,0.1883342,-0.1829008,0.0901487,0,0,0,0,0,-0.2481254,0,0,2.092157,-1.77039,0,98.744,-5.952657,0.5,0,0,0,0,-2.000471,0,0,191,0,0,6,2,229
11.42.54.201764, 14.41318,63.91379,-0.1042789,8.18198,63.651,0.1526633,0,0,0,0,0.3749328,0.02268836,2.026962,0,0.03713965,0.03420928,-0.04140021,0,0,0,0,0,0.07432842,0,0,0.2433872,-0.2330928,-1.769292,0,0.2433872,-0.218487,0.1316884,0,0,0,0,0,-0.2699472,0,0,2.647558,-1.70605,0,97.99953,-5.807588,0.5,0,0,0,0,-2.369111,0,0,191,0,0,7,2,229
11.42.54.300770, 20.33445,60.69754,-0.03221301,14.41318,63.91379,0.3402625,0,0,0,0,0.3025769,-0.008106068,2.677465,0,0.3025769,0.02268836,-0.05816929,0,0,0,0,0,0.1296224,0,0,0.2984403,-0.2338348,-1.312564,0,0.2984403,-0.2330928,0.1341284,0,0,0,0,0,-0.2322624,0,0,3.175541,-1.638518,0,96.88642,-5.596528,0.5,0,0,0,0,-3.11358,0,0,191,0,0,8,2,229
11.42.54.402776, 25.76448,54.30741,0.01862312,20.33445,60.69754,0.4951238,0,0,0,0,-0.04989612,-0.06645742,3.312514,0,-0.04989612,-0.008106068,-0.08391558,0,0,0,0,0,-0.02948916,0,0,0.008702993,-0.2191716,-0.2775563,0,0.008702993,-0.2338348,0.06088971,0,0,0,0,0,-0.6507194,0,0,3.686347,-1.572054,0,96.56344,-5.374994,0.5,0,0,0,0,-3.436558,0,0,191,0,0,9,2,229
