DateTime,PitchVelocityRadsPerS,RollVelocityRadsPerS,YawVelocityRadsPerS,PitchDegrees,RollDegrees,MagHeadingDegrees,LatitudeDegrees,LongitudeDegrees,ZAltitudeFtAgl,YVelocityNEDFrameMs,ZVelocityNEDFrameMs,XVelocityNEDFrameMs
11.48.13.711039, 0.0001824283,-0.000243842,0,-1.220706,0.2343775,122.2263,47.50046,-122.2169,0.09297888,0,-0.0003671892,0
11.48.13.784043, -0.0001592735,1.984748E-05,0,-1.221164,0.2344346,122.2263,47.50046,-122.2169,0.09296848,0,6.976429E-05,0
11.48.13.851047, 3.383703E-05,0.0001411315,0,-1.221067,0.2348409,122.2263,47.50046,-122.2169,0.09295544,0,7.909791E-05,0
11.48.13.917051, -0.0002852179,0.0002065711,0,-1.221888,0.2354358,122.2263,47.50046,-122.2169,0.09294415,0,7.510884E-05,0
11.48.13.985055, 1.418352E-05,-6.221665E-05,0,-1.221847,0.2352566,122.2263,47.50046,-122.2169,0.09290668,0,0.0002273019,0
11.48.14.061059, -0.000175766,-0.0001875023,0,-1.222354,0.2347168,122.2263,47.50046,-122.2169,0.09296892,0,-0.0003708885,0
11.48.14.130063, 9.498339E-05,-0.0002592606,0,-1.22208,0.2339704,122.2263,47.50046,-122.2169,0.0929323,0,0.0002221034,0
11.48.14.194067, -0.000245634,3.644175E-06,0,-1.222787,0.2339809,122.2263,47.50046,-122.2169,0.09292042,0,7.870532E-05,0
11.48.14.262071, 0.0001744318,0.0001242692,0,-1.222285,0.2343386,122.2263,47.50046,-122.2169,0.09295667,0,-0.0002198205,0
11.48.14.336075, -8.95124E-05,-0.0001256352,0,-1.222543,0.2339769,122.2263,47.50046,-122.2169,0.09292108,0,0.0002225483,0
11.48.14.426080, 0.0003140923,6.58635E-05,0,-1.221638,0.2341665,122.2263,47.50046,-122.2169,0.09295661,0,-0.0002154823,0
11.48.14.522086, -4.42393E-05,0.0001571351,0,-1.221766,0.2346189,122.2263,47.50046,-122.2169,0.0929453,0,7.520915E-05,0
11.48.14.601090, 0.0002275855,-0.0001032932,0,-1.221111,0.2343214,122.2263,47.50046,-122.2169,0.09290714,0,0.0002314757,0
11.48.14.682095, -6.577536E-05,8.573531E-05,0,-1.2213,0.2345683,122.2263,47.50046,-122.2169,0.09299336,0,-0.0005164272,0
11.48.14.762099, 0.0001090122,0.0001766174,0,-1.220986,0.2350768,122.2263,47.50046,-122.2169,0.09298133,0,7.301832E-05,0
11.48.14.836103, -0.0001376548,-8.27234E-05,0,-1.221382,0.2348386,122.2263,47.50046,-122.2169,0.09294495,0,0.00022732,0
11.48.14.914108, 0.0001595296,-0.0002064,0,-1.220923,0.2342444,122.2263,47.50046,-122.2169,0.09290648,0,0.000233299,0
11.48.14.992112, -0.0001218445,3.73618E-05,0,-1.221274,0.234352,122.2263,47.50046,-122.2169,0.09299272,0,-0.0005164729,0
11.48.15.070117, 5.850673E-05,0.0001497851,0,-1.221105,0.2347832,122.2263,47.50046,-122.2169,0.09298071,0,7.29247E-05,0
11.48.15.149121, -0.0002768591,0.0002117601,0,-1.221902,0.2353929,122.2263,47.50046,-122.2169,0.09296898,0,7.780144E-05,0
11.48.15.226126, 2.183514E-05,-5.819241E-05,0,-1.22184,0.2352254,122.2263,47.50046,-122.2169,0.09293108,0,0.0002298507,0
11.48.15.304130, -0.0002063467,-0.0001849867,0,-1.222434,0.2346928,122.2263,47.50046,-122.2169,0.09289435,0,0.000229408,0
