Total,Roll,Pitch,Yaw,,,,,new total
Total: 10215.0851371276,2795.410353,2176.173092,25673.67197, Mag 2, Accel 1, lowestaccel 1, lowestMag 2,9435.582698
Total: 11078.3647186069,2814.622682,2180.259621,28240.21185, Mag 1, Accel 1, lowestaccel 1, lowestMag 1,9717.70084
Total: 9501.13910934029,2800.29543,2182.291898,23520.83, Mag 3, Accel 1, lowestaccel 1, lowestMag 3,9236.932684
Total: 8907.41119431087,2804.361637,2188.920956,21728.95099, Mag 4, Accel 1, lowestaccel 8, lowestMag 3,9074.662484
Total: 9521.01920668798,2825.270986,2191.915768,23545.87087, Mag 3, Accel 1, lowestaccel 1, lowestMag 3,9281.16251
Total: 8415.42910330096,2807.680626,2195.764955,20242.84173, Mag 5, Accel 1, lowestaccel 8, lowestMag 4,8942.726646
Total: 8007.32037760501,2810.33559,2202.642284,19008.98326, Mag 6, Accel 1, lowestaccel 8, lowestMag 5,8835.484924
Total: 7667.56663088221,2812.407731,2209.692373,17980.59979, Mag 7, Accel 1, lowestaccel 9, lowestMag 6,8748.611683
Total: 7383.2556334999,2813.974062,2217.009108,17118.78373, Mag 8, Accel 1, lowestaccel 9, lowestMag 7,8678.473244
Total: 7143.91391840452,2815.107224,2224.689902,16391.94463, Mag 9, Accel 1, lowestaccel 9, lowestMag 8,8622.170768
Total: 6940.96455042275,2815.861358,2232.315808,15774.71648, Mag 10, Accel 1, lowestaccel 9, lowestMag 9,8576.378487
Total: 6767.68464640351,2816.300601,2239.885005,15246.86833, Mag 11, Accel 1, lowestaccel 9, lowestMag 10,8539.127385
Total: 6618.67607518361,2816.469437,2247.318762,14792.24003, Mag 12, Accel 1, lowestaccel 10, lowestMag 11,8508.68402
Total: 6489.67261398784,2816.407062,2254.681713,14397.92907, Mag 13, Accel 1, lowestaccel 10, lowestMag 12,8483.922688
Total: 6377.24206936822,2816.15005,2261.989794,14053.58636, Mag 14, Accel 1, lowestaccel 10, lowestMag 13,8463.87327
Total: 6278.60479121521,2815.736,2269.162076,13750.9163, Mag 15, Accel 1, lowestaccel 10, lowestMag 14,8447.578181
Total: 6191.52773504323,2815.173948,2276.241702,13483.16756, Mag 16, Accel 1, lowestaccel 9, lowestMag 15,8434.456713
Total: 10893.7079881143,2320.552578,2279.897296,28080.67409, Mag 1, Accel 2, lowestaccel 2, lowestMag 1,9456.359321
Total: 6114.21869487446,2814.507657,2283.225958,13244.92247, Mag 17, Accel 1, lowestaccel 9, lowestMag 16,8424.001054
Total: 10005.7059078726,2326.038425,2285.485098,25405.5942, Mag 2, Accel 2, lowestaccel 2, lowestMag 2,9204.9642
Total: 6045.17914937683,2813.738345,2290.103145,13031.69596, Mag 18, Accel 1, lowestaccel 9, lowestMag 17,8415.740397
Total: 9252.22816037908,2330.686362,2291.901948,23134.09617, Mag 3, Accel 2, lowestaccel 2, lowestMag 3,8994.831238
Total: 9252.22816037908,2330.686362,2291.901948,23134.09617, Mag 3, Accel 2, lowestaccel 2, lowestMag 3,8994.831238
Total: 5983.24496270218,2812.899585,2296.969648,12839.86566, Mag 19, Accel 1, lowestaccel 9, lowestMag 18,8409.535488
Total: 8621.99802166168,2334.583631,2298.882428,21232.52801, Mag 4, Accel 2, lowestaccel 2, lowestMag 4,8822.142926
Total: 5927.40802235173,2812.02413,2303.78072,12666.41922, Mag 20, Accel 1, lowestaccel 9, lowestMag 19,8405.025079
Total: 8097.89000506399,2337.821182,2306.214826,19649.63401, Mag 5, Accel 2, lowestaccel 8, lowestMag 4,8681.432116
Total: 5876.79720115189,2811.080031,2310.498929,12508.81264, Mag 21, Accel 1, lowestaccel 8, lowestMag 20,8401.851151
Total: 7662.21270998406,2340.47818,2313.752267,18332.40768, Mag 6, Accel 2, lowestaccel 8, lowestMag 5,8567.175664
Total: 5830.74511004992,2810.09473,2317.129162,12365.01144, Mag 22, Accel 1, lowestaccel 8, lowestMag 21,8399.844725
Total: 7299.02912222739,2342.63016,2321.36306,17233.09415, Mag 7, Accel 2, lowestaccel 9, lowestMag 6,8474.40268
Total: 5788.67549011285,2809.082477,2323.676727,12233.26727, Mag 23, Accel 1, lowestaccel 8, lowestMag 22,8398.85441
Total: 6994.85937390627,2344.354518,2328.974381,16311.24922, Mag 8, Accel 2, lowestaccel 9, lowestMag 7,8398.99275
Total: 5750.08971959289,2808.036665,2330.151443,12112.08105, Mag 24, Accel 1, lowestaccel 8, lowestMag 23,8398.743991
Total: 6738.63971982848,2345.697986,2336.535289,15533.68588, Mag 9, Accel 2, lowestaccel 9, lowestMag 8,8337.567354
Total: 5714.61028050491,2806.971106,2336.635546,12000.22419, Mag 25, Accel 1, lowestaccel 8, lowestMag 24,8399.567507
Total: 5681.90921619335,2805.894006,2343.199271,11896.63437, Mag 26, Accel 1, lowestaccel 8, lowestMag 25,8401.366584
Total: 6521.44508053922,2346.719526,2344.019229,14873.59649, Mag 10, Accel 2, lowestaccel 9, lowestMag 9,8287.44568
Total: 6336.11343357385,2347.470769,2351.399132,14309.4704, Mag 11, Accel 2, lowestaccel 9, lowestMag 10,8246.468997
Total: 5623.53344621322,2803.721357,2356.14068,11710.7383, Mag 28, Accel 1, lowestaccel 8, lowestMag 27,8406.704412
Total: 5685.798573271,2829.350437,2358.017899,11870.02738, Mag 27, Accel 1, lowestaccel 1, lowestMag 27,8449.45393
Total: 6176.93262769158,2347.997914,2358.705721,13824.09425, Mag 12, Accel 2, lowestaccel 10, lowestMag 11,8213.018989
Total: 5597.42027305094,2802.628302,2362.661623,11626.97089, Mag 29, Accel 1, lowestaccel 8, lowestMag 28,8410.385807
Total: 6039.31725261317,2348.318762,2365.994866,13403.63813, Mag 13, Accel 2, lowestaccel 10, lowestMag 12,8185.84043
Total: 5573.0817711419,2801.531037,2369.22395,11548.49033, Mag 30, Accel 1, lowestaccel 8, lowestMag 29,8414.674865
Total: 5919.56535488522,2348.477465,2373.166121,13037.05248, Mag 14, Accel 2, lowestaccel 10, lowestMag 13,8163.667208
Total: 5550.33361063449,2800.441566,2375.74466,11474.81461, Mag 31, Accel 1, lowestaccel 8, lowestMag 30,8419.36819
Total: 5814.6995818455,2348.489717,2380.221153,12715.38788, Mag 15, Accel 2, lowestaccel 10, lowestMag 14,8145.621839
Total: 5529.02446868967,2799.365239,2382.210706,11405.49746, Mag 32, Accel 1, lowestaccel 8, lowestMag 31,8424.399873
Total: 5584.64451298599,2824.929426,2383.934686,11545.06943, Mag 31, Accel 1, lowestaccel 1, lowestMag 31,8464.812799
Total: 5722.32636485525,2348.384557,2387.166805,12431.42773, Mag 16, Accel 2, lowestaccel 9, lowestMag 15,8131.022484
Total: 5509.011809139,2798.291923,2388.621281,11340.12222, Mag 33, Accel 1, lowestaccel 7, lowestMag 32,8429.717514
Total: 5640.4970254265,2348.180762,2393.998756,12179.31156, Mag 17, Accel 2, lowestaccel 9, lowestMag 16,8119.291354
Total: 5490.18733781893,2797.227893,2394.983923,11278.3502, Mag 34, Accel 1, lowestaccel 7, lowestMag 33,8435.307969
Total: 10768.9744938577,1953.471256,2397.146044,27956.30618, Mag 1, Accel 3, lowestaccel 3, lowestMag 1,9348.046837
Total: 5567.62905474357,2347.894054,2400.769876,11954.22323, Mag 18, Accel 2, lowestaccel 9, lowestMag 17,8110.066724
Total: 5472.4486588483,2796.17664,2401.294574,11219.87476, Mag 35, Accel 1, lowestaccel 7, lowestMag 34,8441.1356
Total: 9851.25173731917,1958.548223,2402.267833,25192.93916, Mag 2, Accel 3, lowestaccel 3, lowestMag 2,9086.522982
Total: 5502.40102947614,2347.546697,2407.447873,11752.20852, Mag 19, Accel 2, lowestaccel 9, lowestMag 18,8102.908625
Total: 5455.71523542747,2795.145522,2407.561218,11164.43897, Mag 36, Accel 1, lowestaccel 7, lowestMag 35,8447.197302
Total: 9066.7849212007,1962.889075,2408.298592,22829.1671, Mag 3, Accel 3, lowestaccel 3, lowestMag 3,8866.114062
Total: 5439.88744680194,2794.119873,2413.782468,11111.76, Mag 37, Accel 1, lowestaccel 7, lowestMag 36,8453.448822
Total: 5443.74937395143,2347.150765,2414.033632,11570.06373, Mag 20, Accel 2, lowestaccel 9, lowestMag 19,8097.509325
Total: 8407.40120682532,1966.576887,2415.007907,20840.61883, Mag 4, Accel 3, lowestaccel 3, lowestMag 4,8683.996894
Total: 5424.91321659392,2793.108696,2419.986334,11061.64462, Mag 38, Accel 1, lowestaccel 7, lowestMag 37,8459.934957
Total: 5390.75395307002,2346.694421,2420.531438,11405.036, Mag 21, Accel 2, lowestaccel 8, lowestMag 20,8093.591455
Total: 7857.33695847902,1969.700844,2422.205049,19180.10498, Mag 5, Accel 3, lowestaccel 3, lowestMag 5,8535.151357
Total: 5410.7484744956,2792.119974,2426.216298,11013.90915, Mag 39, Accel 1, lowestaccel 7, lowestMag 38,8466.731488
Total: 5342.6902423011,2346.196888,2426.979262,11254.89458, Mag 22, Accel 2, lowestaccel 8, lowestMag 21,8091.025181
Total: 7399.2364083896,1972.332509,2429.721225,17795.65549, Mag 6, Accel 3, lowestaccel 3, lowestMag 6,8414.107256
Total: 5397.29790124743,2791.14169,2432.401535,10968.35048, Mag 40, Accel 1, lowestaccel 7, lowestMag 39,8473.665639
Total: 5298.94146364641,2345.668617,2433.402871,11117.7529, Mag 23, Accel 2, lowestaccel 8, lowestMag 22,8089.682788
Total: 7016.98973297224,1974.532686,2437.428451,16639.00806, Mag 7, Accel 3, lowestaccel 9, lowestMag 6,8315.837125
Total: 5384.53363920118,2790.188587,2438.572029,10924.8403, Mag 41, Accel 1, lowestaccel 7, lowestMag 40,8480.797816
Total: 5258.95558659623,2345.110099,2439.751257,10992.0054, Mag 24, Accel 2, lowestaccel 8, lowestMag 23,8089.302143
Total: 5372.37747779043,2789.238632,2444.704608,10883.18919, Mag 42, Accel 1, lowestaccel 7, lowestMag 41,8488.042904
Total: 6696.75059785587,1976.356667,2445.250114,15668.64501, Mag 8, Accel 3, lowestaccel 9, lowestMag 7,8236.085729
Total: 5222.28890832333,2344.52982,2446.032145,10876.30476, Mag 25, Accel 2, lowestaccel 8, lowestMag 24,8089.771605
Total: 5360.79434222516,2788.301623,2450.797426,10843.28398, Mag 43, Accel 1, lowestaccel 7, lowestMag 42,8495.394711
Total: 5188.56600158591,2343.940616,2452.246312,10769.51108, Mag 26, Accel 2, lowestaccel 8, lowestMag 25,8090.990286
Total: 6427.0537999997,1977.866425,2453.102118,14850.19286, Mag 9, Accel 3, lowestaccel 9, lowestMag 8,8171.303304
Total: 5349.76177449181,2787.391853,2456.857323,10805.03615, Mag 44, Accel 1, lowestaccel 7, lowestMag 43,8502.870929
Total: 5157.44485863262,2343.32344,2458.417959,10670.59318, Mag 27, Accel 2, lowestaccel 2, lowestMag 27,8092.886332
Total: 6198.55571650194,1979.095434,2460.927162,14155.64455, Mag 10, Accel 3, lowestaccel 9, lowestMag 9,8118.604671
Total: 5339.22521037384,2786.493595,2462.874179,10768.30786, Mag 45, Accel 1, lowestaccel 7, lowestMag 44,8510.423379
Total: 5128.66692338267,2342.706179,2464.542065,10578.75253, Mag 28, Accel 2, lowestaccel 8, lowestMag 27,8095.394943
Total: 6003.75160724536,1980.09359,2468.679853,13562.48138, Mag 11, Accel 3, lowestaccel 9, lowestMag 10,8075.692076
Total: 5329.1684532535,2785.619464,2468.860583,10733.02531, Mag 46, Accel 1, lowestaccel 7, lowestMag 45,8518.081215
Total: 5101.98695949558,2342.078174,2470.660198,10493.22251, Mag 29, Accel 2, lowestaccel 8, lowestMag 28,8098.513002
Total: 5319.53513813302,2784.748381,2474.804658,10699.05238, Mag 47, Accel 1, lowestaccel 7, lowestMag 46,8525.788097
Total: 5836.60752106718,1980.89442,2476.337011,13052.59113, Mag 12, Accel 3, lowestaccel 10, lowestMag 11,8040.738114
Total: 5077.21021427214,2341.459548,2476.762053,10413.40904, Mag 30, Accel 2, lowestaccel 8, lowestMag 29,8102.178603
Total: 5363.61131187322,2809.879791,2477.165463,10803.78868, Mag 46, Accel 1, lowestaccel 1, lowestMag 46,8563.601606
Total: 5310.32250930583,2783.900075,2480.717723,10666.34973, Mag 48, Accel 1, lowestaccel 7, lowestMag 47,8533.580487
Total: 5054.13467510178,2340.832794,2482.86196,10338.70927, Mag 31, Accel 2, lowestaccel 8, lowestMag 30,8106.344362
Total: 5054.13467510178,2340.832794,2482.86196,10338.70927, Mag 31, Accel 2, lowestaccel 2, lowestMag 31,8106.344362
Total: 5692.2918767555,1981.515569,2483.940328,12611.41973, Mag 13, Accel 3, lowestaccel 10, lowestMag 12,8012.386642
Total: 5301.50316230831,2783.07067,2486.601626,10634.83719, Mag 49, Accel 1, lowestaccel 7, lowestMag 48,8541.450574
Total: 5032.63962850996,2340.215916,2489.03315,10268.66982, Mag 32, Accel 2, lowestaccel 8, lowestMag 31,8111.127605
Total: 5566.90435343483,1981.993073,2491.434751,12227.28524, Mag 14, Accel 3, lowestaccel 10, lowestMag 13,7989.391791
Total: 5293.06813154153,2782.251409,2492.534849,10604.41814, Mag 50, Accel 1, lowestaccel 7, lowestMag 49,8549.537779
Total: 5012.53214346345,2339.590003,2495.181147,10202.82528, Mag 33, Accel 2, lowestaccel 7, lowestMag 32,8116.275824
Total: 5284.97706192876,2781.448533,2498.432745,10575.04991, Mag 51, Accel 1, lowestaccel 7, lowestMag 50,8557.674159
Total: 5457.31262687261,1982.347013,2498.842767,11890.7481, Mag 15, Accel 3, lowestaccel 10, lowestMag 14,7970.872656
Total: 4993.73638421564,2338.980566,2501.383052,10140.84553, Mag 34, Accel 2, lowestaccel 7, lowestMag 33,8121.933167
Total: 5277.21043645903,2780.661243,2504.300496,10546.66957, Mag 52, Accel 1, lowestaccel 7, lowestMag 51,8565.863067
Total: 5360.9739083263,1982.593854,2506.171992,11594.15588, Mag 16, Accel 3, lowestaccel 9, lowestMag 15,7956.094041
Total: 4976.1156135752,2338.378556,2507.59156,10082.37672, Mag 35, Accel 2, lowestaccel 7, lowestMag 34,8127.961492
Total: 5269.74656326945,2779.888218,2510.132185,10519.21929, Mag 53, Accel 1, lowestaccel 7, lowestMag 52,8574.085696
Total: 5275.82771184849,1982.756768,2513.419541,11331.30683, Mag 17, Accel 3, lowestaccel 9, lowestMag 16,7944.450856
Total: 4959.5660951371,2337.780119,2513.808655,10027.10951, Mag 36, Accel 2, lowestaccel 7, lowestMag 35,8134.330368
Total: 5262.56912581656,2779.127822,2515.93551,10492.64404, Mag 54, Accel 1, lowestaccel 7, lowestMag 53,8582.350465
Total: 4944.01218349683,2337.19697,2520.031492,9974.808089, Mag 37, Accel 2, lowestaccel 7, lowestMag 36,8141.021065
