6721.460787,5137.65204,2966.589327,12060.14099, Mag 24, Accel 6, lowestaccel 1, lowestMag 9,
6720.726152,5139.173428,2968.936086,12054.06894, Mag 23, Accel 6, lowestaccel 1, lowestMag 9,
6719.837138,5140.723325,2971.34955,12047.43854, Mag 22, Accel 6, lowestaccel 1, lowestMag 9,
6718.709973,5142.320578,2973.801025,12040.00832, Mag 21, Accel 6, lowestaccel 1, lowestMag 9,
6717.268348,5143.96299,2976.364971,12031.47708, Mag 20, Accel 6, lowestaccel 1, lowestMag 9,
6715.697259,5145.64343,2978.980913,12022.46743, Mag 19, Accel 6, lowestaccel 1, lowestMag 9,
6713.612804,5147.365881,2981.704867,12011.76766, Mag 18, Accel 6, lowestaccel 1, lowestMag 9,
6711.358707,5149.136262,2984.586405,12000.35345, Mag 17, Accel 6, lowestaccel 1, lowestMag 9,
6466.793147,4808.738561,2987.519001,11604.12188, Mag 24, Accel 5, lowestaccel 1, lowestMag 9,
6708.447561,5150.958857,2987.539701,11986.84413, Mag 16, Accel 6, lowestaccel 1, lowestMag 9,
6465.884735,4809.572005,2988.444299,11599.6379, Mag 23, Accel 5, lowestaccel 1, lowestMag 9,
6464.888329,4810.437206,2989.365066,11594.86271, Mag 22, Accel 5, lowestaccel 1, lowestMag 9,
6463.535558,4811.338149,2990.280949,11588.98758, Mag 21, Accel 5, lowestaccel 1, lowestMag 9,
6704.970644,5152.920897,2990.587114,11971.40392, Mag 15, Accel 6, lowestaccel 1, lowestMag 9,
6461.99135,4812.420524,2991.217655,11582.33587, Mag 20, Accel 5, lowestaccel 1, lowestMag 9,
6927.079111,5386.886812,2991.495716,12402.85481, Mag 24, Accel 7, lowestaccel 1, lowestMag 9,
6460.15383,4813.594809,2992.191892,11574.67479, Mag 19, Accel 5, lowestaccel 1, lowestMag 9,
6457.973316,4814.910155,2993.168192,11565.8416, Mag 18, Accel 5, lowestaccel 1, lowestMag 9,
6700.906953,5155.012927,2993.836505,11953.87143, Mag 14, Accel 6, lowestaccel 1, lowestMag 9,
6455.634152,4816.360238,2994.142514,11556.39971, Mag 17, Accel 5, lowestaccel 1, lowestMag 9,
6926.562845,5388.57382,2995.043722,12396.07099, Mag 23, Accel 7, lowestaccel 1, lowestMag 9,
6452.845512,4817.873194,2995.116758,11545.54658, Mag 16, Accel 5, lowestaccel 1, lowestMag 9,
6449.483319,4819.455921,2996.165672,11532.82837, Mag 15, Accel 5, lowestaccel 1, lowestMag 9,
6696.187312,5157.183027,2997.220845,11934.15806, Mag 13, Accel 6, lowestaccel 1, lowestMag 9,
6445.498168,4821.11509,2997.303368,11518.07605, Mag 14, Accel 5, lowestaccel 1, lowestMag 9,
6440.990794,4822.868755,2998.600845,11501.50278, Mag 13, Accel 5, lowestaccel 1, lowestMag 9,
6925.768015,5390.284131,2998.665229,12388.35468, Mag 22, Accel 7, lowestaccel 1, lowestMag 9,
6436.156569,4824.73041,2999.943379,11483.79592, Mag 12, Accel 5, lowestaccel 1, lowestMag 9,
6690.683757,5159.441262,3000.69113,11911.91888, Mag 12, Accel 6, lowestaccel 1, lowestMag 9,
6431.320299,4826.69267,3001.361333,11465.90689, Mag 11, Accel 5, lowestaccel 1, lowestMag 9,
6924.920906,5392.116184,3002.339914,12380.30662, Mag 21, Accel 7, lowestaccel 1, lowestMag 9,
6425.291979,4828.764614,3002.983952,11444.12737, Mag 10, Accel 5, lowestaccel 1, lowestMag 9,
6684.643748,5161.797873,3004.305928,11887.82744, Mag 11, Accel 6, lowestaccel 1, lowestMag 9,
6416.976396,4831.107742,3004.764614,11415.05683, Mag 9, Accel 5, lowestaccel 1, lowestMag 9,
6923.611318,5394.0027,3006.078208,12370.75305, Mag 20, Accel 7, lowestaccel 1, lowestMag 9,
6405.85483,4833.592599,3006.744187,11377.2277, Mag 8, Accel 5, lowestaccel 1, lowestMag 8,
6678.785203,5164.265233,3008.194579,11863.8958, Mag 10, Accel 6, lowestaccel 1, lowestMag 9,
6390.375454,4836.211328,3008.996526,11325.91851, Mag 7, Accel 5, lowestaccel 1, lowestMag 7,
6922.082585,5395.923722,3009.884792,12360.43924, Mag 19, Accel 7, lowestaccel 1, lowestMag 9,
6369.336928,4838.961013,3011.609365,11257.44041, Mag 6, Accel 5, lowestaccel 1, lowestMag 6,
6670.491579,5166.857693,3012.244767,11832.37228, Mag 9, Accel 6, lowestaccel 1, lowestMag 9,
6920.104124,5397.883584,3013.793604,12348.63519, Mag 18, Accel 7, lowestaccel 1, lowestMag 9,
6339.727139,4841.826172,3014.683763,11162.67148, Mag 5, Accel 5, lowestaccel 1, lowestMag 5,
6658.864334,5169.586249,3016.492138,11790.51462, Mag 8, Accel 6, lowestaccel 1, lowestMag 8,
6917.739073,5399.886836,3017.766999,12335.56338, Mag 17, Accel 7, lowestaccel 1, lowestMag 9,
6294.499019,4844.76349,3018.349566,11020.384, Mag 4, Accel 5, lowestaccel 1, lowestMag 4,
6642.584644,5172.463842,3021.015084,11734.27501, Mag 7, Accel 6, lowestaccel 1, lowestMag 7,
6914.723215,5401.939261,3021.800446,12320.42994, Mag 16, Accel 7, lowestaccel 1, lowestMag 9,
6220.633773,4847.788286,3022.821971,10791.29106, Mag 3, Accel 5, lowestaccel 1, lowestMag 3,
6619.754557,5175.524057,3025.906339,11657.83327, Mag 6, Accel 6, lowestaccel 1, lowestMag 6,
6911.130161,5404.047736,3025.917815,12303.42493, Mag 15, Accel 7, lowestaccel 1, lowestMag 9,
6100.285945,4850.477282,3028.20072,10422.17983, Mag 2, Accel 5, lowestaccel 1, lowestMag 2,
6906.914039,5406.21947,3030.195752,12284.32689, Mag 14, Accel 7, lowestaccel 1, lowestMag 9,
6586.655952,5178.870627,3031.185253,11549.91198, Mag 5, Accel 6, lowestaccel 1, lowestMag 5,
7095.306387,5581.412422,3032.318293,12672.18845, Mag 24, Accel 8, lowestaccel 1, lowestMag 9,
6901.765281,5408.463779,3034.549045,12262.28302, Mag 13, Accel 7, lowestaccel 1, lowestMag 9,
6366.537512,4851.999182,3034.848191,11212.76516, Mag 1, Accel 5, lowestaccel 1, lowestMag 1,
7094.753531,5583.107263,3036.375537,12664.77779, Mag 23, Accel 8, lowestaccel 1, lowestMag 9,
6535.505474,5182.329665,3036.934141,11387.25262, Mag 4, Accel 6, lowestaccel 1, lowestMag 4,
6895.62888,5410.790768,3038.998835,12237.09704, Mag 12, Accel 7, lowestaccel 1, lowestMag 9,
7093.977774,5584.824115,3040.580609,12656.5286, Mag 22, Accel 8, lowestaccel 1, lowestMag 9,
6448.84335,5185.795135,3043.317202,11117.41771, Mag 3, Accel 6, lowestaccel 1, lowestMag 3,
6889.072125,5413.282673,3043.580312,12210.35339, Mag 11, Accel 7, lowestaccel 1, lowestMag 9,
7093.129986,5586.564879,3044.837215,12647.98787, Mag 21, Accel 8, lowestaccel 1, lowestMag 9,
6882.705104,5415.958797,3048.350034,12183.80648, Mag 10, Accel 7, lowestaccel 1, lowestMag 9,
7091.851377,5588.333008,3049.145215,12638.07591, Mag 20, Accel 8, lowestaccel 1, lowestMag 9,
6305.625731,5188.981378,3050.408566,10677.48725, Mag 2, Accel 6, lowestaccel 1, lowestMag 2,
