total,roll,pitch,yaw,,,,,NewTotal
2248852.331,428.2531465,925.6106851,6745203.128, Mag 1, Accel 1, lowestaccel 0, lowestMag 0,1709.605888
2256840.591,310.99303,624.7137385,6769586.067, Mag 1, Accel 2, lowestaccel 0, lowestMag 0,1170.31538
2317305.95,290.7826987,518.2911312,6951108.775, Mag 1, Accel 3, lowestaccel 0, lowestMag 0,995.5237209
2520075.31,314.2484756,471.4416082,7559440.239, Mag 1, Accel 4, lowestaccel 0, lowestMag 0,942.8487691
2677880.849,367.2074529,447.5834379,8032827.755, Mag 1, Accel 5, lowestaccel 0, lowestMag 0,946.7807465
2852305.274,440.942049,435.2658381,8556039.613, Mag 1, Accel 6, lowestaccel 0, lowestMag 0,983.6052939
3028128.562,529.8341734,430.0401698,9083425.813, Mag 1, Accel 7, lowestaccel 0, lowestMag 0,1042.435885
3199572.552,630.1212576,429.7709465,9597657.765, Mag 1, Accel 8, lowestaccel 0, lowestMag 0,1117.247363
3486287.163,739.1592042,433.2292179,10457689.1, Mag 1, Accel 9, lowestaccel 0, lowestMag 0,1204.21323
3646017.608,855.0058392,439.6014599,10936758.22, Mag 1, Accel 10, lowestaccel 0, lowestMag 0,1300.656569
3714639.085,976.1834403,448.2933409,11142492.78, Mag 1, Accel 11, lowestaccel 0, lowestMag 0,1404.577592
988796.3833,413.7727397,937.3103908,2965038.067, Mag 2, Accel 1, lowestaccel 1, lowestMag 2,1716.295141
1016418.506,315.7785969,632.008252,3048307.732, Mag 2, Accel 2, lowestaccel 1, lowestMag 2,1184.846326
1087895.013,295.737,529.6372169,3262859.664, Mag 2, Accel 3, lowestaccel 1, lowestMag 2,1016.258575
1121640.22,318.2186044,485.1699878,3364117.272, Mag 2, Accel 4, lowestaccel 1, lowestMag 2,966.4189351
1191028.771,370.0464036,462.4228041,3572253.844, Mag 2, Accel 5, lowestaccel 1, lowestMag 2,971.1690088
1223518.662,442.553004,450.4974513,3669662.937, Mag 2, Accel 6, lowestaccel 1, lowestMag 2,1007.66093
1290819.321,530.1200779,445.2635502,3871482.578, Mag 2, Accel 7, lowestaccel 1, lowestMag 2,1065.485384
1348893.447,629.0022243,444.7552088,4045606.583, Mag 2, Accel 8, lowestaccel 1, lowestMag 2,1138.884481
